id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9601051,9600002,BRN02,1,15.75,0.4829,-0.1903,0,1,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,1,0
9601053,9600002,BRN02,1,15.67,-1.228,0.0547,0,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,
9601078,9600002,BRN02,1,15.5,-1.228,0.5473,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,1,0,0,,,,
9601117,9600002,BRN02,1,16.08,-1.228,-1.2466,0,,,,,1,0,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,1,0,0,,,,,,0,0,,,,,,,,,,,,
9601197,9600002,BRN02,1,15.42,0.7997,-1.3421,0,0,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
9601203,9600002,BRN02,1,15.58,-1.228,0.3334,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9601319,9600002,BRN02,1,15.83,-0.3264,-1.5412,1,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
9601332,9600002,BRN02,1,16.08,-1.228,0.7044,0,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
9601372,9600002,BRN02,1,15.33,0.2988,1.2313,0,,,,,,,0,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,1,,,,,,,,,1,0,0,1,,,,,,,,,,
9601392,9600002,BRN02,1,15.92,-0.1325,-0.3843,0,,,,,,,0,,,,1,1,,,,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
9601551,9600002,BRN02,1,16.25,1.332,-0.0446,1,0,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,0,0
9601672,9600002,BRN02,1,15.42,-1.228,0.3942,0,,,,,,,,,,1,0,1,,0,0,,1,1,,,,,,,,,,0,1,1,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
9601711,9600002,BRN02,1,15.83,-1.228,-1.1806,0,,1,,,,,,,,,,,0,,,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
9601739,9600002,BRN02,1,16.25,-1.228,0.5578,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
