score,school,gender,age,bullied,escs,skip_sch
52,AC,M,15.83,-0.267,-1.4718,0
32,AC,F,16,-1.228,-0.5523,0
53,AC,M,16.08,1.2927,-0.6524,0
36,AC,M,15.33,1.5194,-0.6049,0
42,AC,F,15.58,-1.228,-0.3967,0
64,AC,F,15.92,-1.228,0.2967,1
39,AC,F,16.25,-0.4588,1.433,0
69,AC,M,15.42,0.2988,-1.3484,0
61,AC,F,16.25,-1.228,-0.3002,0
57,AC,F,15.75,0.5805,-0.0853,0
59,AC,M,15.83,-1.228,0.6963,0
81,AC,F,15.58,1.2826,-1.2123,0
71,AC,F,15.5,-0.1325,-0.4276,0
64,AC,M,16.17,1.602,-0.2786,0
28,AC,M,16,0.7179,-0.5715,0
46,AC,F,15.33,0.0959,1.4775,0
75,AC,M,16.25,0.3447,1.0502,1
47,AC,F,15.42,-1.228,-1.0923,0
23,AC,M,15.5,-1.228,-0.8756,0
70,AC,M,15.33,0.4549,-0.4556,0
34,AC,F,15.83,1.3517,-2.0764,1
81,AC,F,16.25,-1.228,0.4234,0
29,AC,F,15.83,0.7179,-0.7368,0
64,AC,M,16,-1.228,-0.4391,0
29,AC,F,16.25,-0.1325,-0.544,0
44,AC,F,16.17,1.6755,-1.3442,0
48,AC,M,16.08,0.9787,-0.7088,0
62,AC,M,15.92,-1.228,0.6698,0
73,AC,M,15.83,0.6017,1.3011,0
72,AC,M,16.17,0.2988,-0.3532,0
33,AC,M,15.67,0.8353,-0.6961,0
65,AC,M,16.08,-1.228,1.218,0
50,AC,M,15.33,-1.228,-1.4277,0
40,AC,M,15.58,0.7613,-0.019,0
41,AC,M,16.25,-1.228,0.2267,0
23,AC,M,15.33,1.9478,-1.8284,0
53,AC,F,15.75,1.5093,-0.86,0
57,AC,M,16.17,0.8171,0.1429,0
33,AC,F,16,1.3677,-0.8348,0
38,AC,M,15.42,-1.228,-0.2403,1
40,AC,M,15.67,-1.228,-0.7057,0
55,AC,F,15.92,1.3657,-1.002,1
61,AC,F,16,0.8231,0.5506,0
34,AC,F,15.5,0.2988,-2.7751,0
60,AC,M,15.67,1.0485,-1.5614,0
27,AC,M,15.58,2.1702,0.0081,1
41,AC,F,15.58,-1.228,-1.0861,0
32,AC,M,15.58,0.797,-1.5301,1
45,AC,M,15.67,1.4481,-0.8601,1
69,AC,F,16.17,1.2615,-0.9714,0
43,AC,F,15.5,2.1464,0.0842,0
60,AC,F,16.08,0.2538,0.5287,0
42,AC,M,15.75,0.7179,-0.2157,0
66,AC,M,15.58,-1.228,0.8439,1
61,AC,F,15.58,1.6961,-1.5862,1
46,AC,M,15.92,0.5504,0.1529,0
4,AC,M,15.42,-1.228,0.0869,0
72,AC,M,15.83,1.2807,1.2383,0
70,AC,M,16.08,0.5547,0.1816,0
23,AC,M,15.33,0.1484,0.1526,1
46,AC,M,15.92,1.7587,-0.6514,1
40,AC,F,16.08,0.4557,0.3689,0
46,AC,F,16,1.5565,-0.7396,1
35,AC,F,15.58,0.455,-1.0363,0
67,AC,M,16.17,0.5278,-0.1159,0
72,AC,M,15.58,-1.228,0.8849,0
38,AC,F,15.42,0.263,0.5951,0
11,AC,M,15.5,2.1456,-0.9025,1
84,AC,F,15.5,0.379,-0.2336,0
32,AC,F,16.08,-0.267,-1.9298,0
53,AC,M,16,-1.228,-1.6728,0
70,AC,F,15.83,-1.228,-0.4904,0
52,AC,F,15.92,-1.228,-0.1324,0
38,AD,M,16,0.3447,0.0245,0
57,AD,F,16,-1.228,-0.4502,0
55,AD,F,16.17,1.1219,-0.3503,0
21,AD,F,15.67,0.7179,-0.8822,0
15,AD,F,16.08,0.2702,-0.7661,0
57,AD,M,15.5,-1.228,-0.5632,0
42,AD,F,15.92,-1.228,-1.5444,0
51,AD,M,15.67,1.435,0.3755,0
51,AD,M,15.42,-1.228,-1.4503,0
41,AD,F,15.67,1.1666,-2.2701,0
44,AD,M,15.75,-1.228,-0.9541,0
42,AD,F,15.5,1.1744,0.3525,0
40,AD,M,15.42,1.8488,-0.4653,0
49,AD,M,15.92,1.6579,-0.1966,0
57,AD,M,15.75,-1.228,-0.9895,0
30,AD,F,15.42,1.1008,-1.5794,0
48,AD,M,15.33,0.7179,-1.3574,0
49,AD,F,15.75,0.9831,-1.1775,0
41,AD,F,15.83,1.6285,-1.3388,0
21,AD,F,16,0.8812,-0.9173,0
55,AD,M,15.83,-0.5168,9e-4,0
67,AD,F,15.5,-0.267,0.9521,0
29,AD,M,15.5,1.4151,-1.1016,0
82,AD,M,16.08,0.2988,0.4639,0
35,AD,F,15.5,0.5767,-0.1672,0
65,AD,F,15.5,-1.228,-1.1808,0
28,AD,M,16,0.8723,-1.8348,0
64,AD,F,16,-1.228,1.1421,0
49,AD,M,15.33,-1.228,-1.7832,1
72,AD,F,15.5,-1.228,0.6242,0
4,AD,M,15.67,-1.228,-1.2982,1
70,AD,M,15.5,1.4061,0.0099,1
24,AD,M,16,0.6122,-1.3341,0
73,AD,M,15.67,0.5238,-0.5945,0
50,AD,M,15.5,-0.1325,-0.9173,0
43,AD,F,15.5,1.1307,-0.6644,1
52,AD,F,15.67,0.843,-0.5118,0
25,AD,M,15.83,1.2334,0.0599,0
50,AD,M,16.08,1.5895,0.0391,0
33,AD,F,15.92,0.8222,-0.9875,0
36,AD,F,15.58,1.5876,-1.6367,0
38,AD,F,15.83,0.76,-2.4374,0
22,AD,F,16,0.7227,-0.7876,0
54,AD,F,15.83,1.2112,-1.2889,0
71,AD,F,15.83,-1.228,-0.7394,0
68,AD,M,15.92,1.0646,-0.7618,0
45,AD,M,15.5,0.6942,-1.0918,0
18,AD,M,15.92,-0.1325,-2.0592,0
46,AD,F,16.25,1.3517,-1.4072,0
40,AD,M,15.42,1.7708,-0.1547,0
20,AD,M,15.33,2.3234,-1.5318,0
67,AD,F,15.33,0.8171,0.2965,0
60,AD,M,16,1.5838,-0.5749,0
59,AD,F,15.75,-1.228,-1.3533,0
42,AD,M,16,-0.391,-0.3942,0
79,AD,M,15.58,-1.228,-1.815,0
70,AD,F,15.33,1.6643,-0.9622,0
55,AD,M,15.75,-1.228,-0.1509,0
46,AD,M,15.33,0.8021,-0.1784,0
63,AD,F,16.25,-0.1325,-2.0376,0
40,AD,M,15.83,0.0096,-1.5556,0
73,AD,F,15.58,-0.4588,-0.6564,0
30,AD,F,16.25,0.9504,-0.1555,0
33,AD,F,15.75,1.7082,-1.4036,1
22,AD,M,16,1.1659,-1.4108,0
37,AD,F,16.25,-0.1325,2.0403,0
53,AD,M,16.08,-0.391,-0.7458,0
45,AD,F,15.33,-1.228,-0.9676,0
20,AD,M,16.17,1.0901,-0.5425,1
35,AD,M,16.08,1.3242,-1.054,0
45,AD,M,15.83,1.6246,0.0346,0
29,AD,M,16.17,1.0927,0.223,0
33,AD,M,15.92,1.0745,-0.1107,0
58,AD,F,15.33,-1.228,0.6448,0
39,AD,M,15.5,-1.228,-0.7892,0
46,AD,M,15.58,-1.228,-1.6023,0
57,AD,M,15.83,1.1298,1.4247,0
59,AD,M,15.5,1.0315,-0.6956,0
23,AD,F,15.33,0.7511,0.8999,0
56,AD,F,16.08,1.4575,-1.1703,1
55,AD,M,15.67,0.6376,-1.2791,0
20,AD,M,16.17,0.9521,-0.3664,0
41,AD,M,16,-1.228,-0.9131,0
44,AD,F,15.5,1.176,-0.1761,0
45,AD,F,15.5,-0.0259,-1.0885,0
23,AD,M,15.67,1.5475,-1.5382,0
55,AD,M,15.92,-0.1325,-0.0709,0
22,AD,M,15.92,2.1631,1.1974,0
42,AD,F,15.33,-1.228,-0.0283,0
51,AD,M,16.08,1.2956,0.3563,0
36,AD,M,15.75,1.7612,0.0392,1
23,AD,F,15.67,1.7417,-1.4838,0
39,AD,M,15.33,-0.267,-2.0092,1
47,AD,F,15.5,0.842,-1.3074,0
48,AD,F,15.92,-1.228,-1.4005,0
65,AD,F,16.25,-1.228,0.2635,0
63,AD,M,15.42,-1.228,-0.8366,0
42,AD,M,16.17,0.5402,-1.5382,0
81,AD,F,15.58,-1.228,-0.176,0
28,AD,F,15.5,0.2988,-1.6817,0
62,AD,M,15.75,-0.267,-1.3445,0
59,AD,M,15.83,1.712,-0.257,0
31,AD,F,16.08,-1.228,-1.4695,0
32,AD,M,16.17,1.4747,-1.2931,1
75,AD,M,15.83,-1.228,0.1138,0
55,AD,M,15.58,0.6573,-0.5852,0
57,AD,M,15.42,0.3447,-1.7702,0
26,AD,F,15.42,1.0762,-0.9989,0
61,AD,F,15.42,0.379,-1.7534,0
16,AE,F,15.75,1.0762,0.2028,0
42,AE,M,16.25,2.9029,-0.6672,0
48,AE,F,15.67,1.4707,-0.9187,1
72,AE,M,15.75,1.0485,1.2877,0
52,AE,M,15.58,1.0137,1.0134,0
40,AE,M,15.58,-1.228,-0.0724,0
78,AE,M,16,1.573,-0.2003,0
42,AE,F,15.5,1.188,-1.6463,0
45,AE,F,15.67,0.9693,-0.7853,1
76,AE,F,15.92,-1.228,0.6073,0
81,AE,F,16.08,-0.267,-0.5572,0
54,AE,M,16,0.9477,0.6342,0
40,AE,F,15.75,-0.267,1.0858,0
48,AE,F,15.83,1.0485,0.7166,1
77,AE,F,16.17,-0.1325,-2.0528,0
64,AE,M,15.67,0.7726,0.8085,0
43,AE,F,16.17,-1.228,0.8056,0
59,AE,M,15.33,0.8171,-0.2534,0
66,AE,F,15.67,0.3367,0.8403,0
72,AE,F,15.83,-1.228,-0.1093,0
77,AE,F,16.25,0.8029,-0.2522,1
31,AE,F,16.25,-0.1325,-1.1436,0
57,AE,F,16.08,0.7703,-2.1497,0
78,AE,M,16,-1.228,-0.5452,0
45,AE,F,15.67,0.5504,-0.6322,0
79,AE,M,16.17,0.2183,0.6853,0
49,AE,F,15.58,1.435,-0.3103,1
60,AE,F,15.92,0.837,0.9316,0
79,AE,F,15.58,0.8337,-0.74,0
64,AE,M,16.17,-1.228,1.1225,0
36,AE,F,16.17,0.3952,0.038,0
76,AE,M,15.33,0.3367,0.2694,0
